user,total_emails,total_attachments,avg_email_size,off_hour_emails,weekend_emails,employee_name,user_id,O,C,E,A,N,anomaly_label,anomaly_flag,anomaly_score
AAE0190,4711,1780,30020.39418382509,499,0,August Armando Evans,AAE0190,36,30,14,50,29,1,0,0.11073046610599924
AAF0535,480,364,30397.40208333333,1,0,Athena Amelia Foreman,AAF0535,17,21,36,33,31,1,0,0.1198897367531786
AAF0791,3012,0,29958.49767596281,377,0,Aladdin Abraham Foley,AAF0791,14,40,40,50,34,1,0,0.08353183067825731
AAL0706,336,145,29828.18154761905,54,0,April Alika Levy,AAL0706,37,14,28,13,25,1,0,0.13776693749066682
AAM0658,659,613,29895.53262518968,146,0,Abel Adam Morton,AAM0658,43,35,37,36,22,1,0,0.14928501631357455
AAN0823,339,149,29791.21238938053,52,0,Anthony Aidan Nixon,AAN0823,24,16,45,24,28,1,0,0.13438048890093096
AAS0442,145,127,30387.103448275862,14,0,Amal Alexander Shelton,AAS0442,36,43,22,22,31,1,0,0.1389416595442619
AAV0450,336,125,30101.818452380958,37,0,Aspen Amber Vinson,AAV0450,44,24,36,41,33,1,0,0.15231290777090473
AAW0353,1000,0,29620.004,122,0,Armando Albert Walter,AAW0353,49,45,19,25,34,1,0,0.12034146035768717
ABC0174,4239,981,29848.87780136825,888,601,Allegra Bree Coffey,ABC0174,15,41,34,13,32,1,0,0.054628649283620656
ABC0253,3015,628,30265.86069651741,532,0,Alec Boris Chase,ABC0253,21,15,41,30,28,1,0,0.14265407622355392
ABH0663,1006,224,29335.427435387675,180,0,Alan Benjamin Holder,ABH0663,47,49,41,11,34,1,0,0.06066771539417981
ABM0845,340,92,29456.2,57,0,Ariel Bertha Murphy,ABM0845,45,21,35,50,29,1,0,0.0919419749283068
ABN0239,3023,1206,30014.550115779028,447,0,Amaya Britanni Newton,ABN0239,21,37,20,39,25,1,0,0.1627582834253823
ACC0042,3676,2158,30021.77176278564,799,0,Alfonso Colin Cooley,ACC0042,23,19,37,20,31,1,0,0.16126841898382055
ACV0812,3040,1651,30008.488815789475,685,0,Alden Caesar Velez,ACV0812,42,37,12,45,28,1,0,0.13678927897344956
ADC0391,3057,2335,29973.24860974812,373,0,Axel Donovan Compton,ADC0391,50,43,40,33,38,1,0,0.11420505914151635
ADD0846,333,173,30745.543543543543,45,0,Aretha Dorothy Deleon,ADD0846,18,19,25,12,35,1,0,0.08178321279743528
ADF0397,3038,621,29737.61948650428,364,0,Ariana Doris Frazier,ADF0397,39,16,10,40,35,1,0,0.10829272985387173
AES0827,336,0,29789.61607142857,47,0,Addison Edward Snyder,AES0827,39,40,34,38,23,1,0,0.14431745300716003
AGB0186,1003,0,29865.22033898305,183,0,Alfonso Gage Blankenship,AGB0186,18,10,41,15,35,1,0,0.10628778405455386
AGB0643,1012,368,30272.84980237154,222,0,Armand Gabriel Brewer,AGB0643,32,39,20,44,27,1,0,0.1420646976026953
