user,total_emails,total_attachments,avg_email_size,off_hour_emails,weekend_emails,employee_name,user_id,O,C,E,A,N
AAE0190,4711,1780,30020.39418382509,499,0,August Armando Evans,AAE0190,36,30,14,50,29
AAF0535,480,364,30397.402083333334,1,0,Athena Amelia Foreman,AAF0535,17,21,36,33,31
AAF0791,3012,0,29958.497675962815,377,0,Aladdin Abraham Foley,AAF0791,14,40,40,50,34
AAL0706,336,145,29828.181547619046,54,0,April Alika Levy,AAL0706,37,14,28,13,25
AAM0658,659,613,29895.53262518968,146,0,Abel Adam Morton,AAM0658,43,35,37,36,22
AAN0823,339,149,29791.21238938053,52,0,Anthony Aidan Nixon,AAN0823,24,16,45,24,28
AAS0442,145,127,30387.103448275862,14,0,Amal Alexander Shelton,AAS0442,36,43,22,22,31
AAV0450,336,125,30101.818452380954,37,0,Aspen Amber Vinson,AAV0450,44,24,36,41,33
AAW0353,1000,0,29620.004,122,0,Armando Albert Walter,AAW0353,49,45,19,25,34
ABC0174,4239,981,29848.877801368246,888,601,Allegra Bree Coffey,ABC0174,15,41,34,13,32
ABC0253,3015,628,30265.86069651741,532,0,Alec Boris Chase,ABC0253,21,15,41,30,28
ABH0663,1006,224,29335.427435387675,180,0,Alan Benjamin Holder,ABH0663,47,49,41,11,34
ABM0845,340,92,29456.2,57,0,Ariel Bertha Murphy,ABM0845,45,21,35,50,29
ABN0239,3023,1206,30014.550115779028,447,0,Amaya Britanni Newton,ABN0239,21,37,20,39,25
ACC0042,3676,2158,30021.771762785636,799,0,Alfonso Colin Cooley,ACC0042,23,19,37,20,31
ACV0812,3040,1651,30008.488815789475,685,0,Alden Caesar Velez,ACV0812,42,37,12,45,28
ADC0391,3057,2335,29973.24860974812,373,0,Axel Donovan Compton,ADC0391,50,43,40,33,38
ADD0846,333,173,30745.543543543543,45,0,Aretha Dorothy Deleon,ADD0846,18,19,25,12,35
ADF0397,3038,621,29737.619486504278,364,0,Ariana Doris Frazier,ADF0397,39,16,10,40,35
AES0827,336,0,29789.616071428572,47,0,Addison Edward Snyder,AES0827,39,40,34,38,23
AGB0186,1003,0,29865.22033898305,183,0,Alfonso Gage Blankenship,AGB0186,18,10,41,15,35
AGB0643,1012,368,30272.84980237154,222,0,Armand Gabriel Brewer,AGB0643,32,39,20,44,27
AHC0142,3382,1844,30189.718805440567,684,286,Azalia Halee Cantu,AHC0142,34,23,40,15,26
AHD0848,376,271,29807.81914893617,54,31,Aladdin Hu Day,AHD0848,24,30,49,16,30
AHG0634,463,251,30719.274298056156,99,0,Amir Hayden Gray,AHG0634,31,36,42,41,27
AHM0410,3063,1931,29957.748612471434,416,27,Addison Hiram Morrow,AHM0410,34,43,15,18,26
AIB0948,328,66,30101.585365853658,80,0,Ariel Ina Barrett,AIB0948,42,31,27,20,31
AIH0675,2994,1267,30023.188376753507,462,0,Aline Iris Hurst,AIH0675,25,39,38,40,37
AIM0627,5009,0,29983.91994410062,750,0,Adam Ishmael Mcdaniel,AIM0627,36,39,16,41,23
AIP0394,3044,1809,30219.256570302234,399,0,Anika Isabella Pennington,AIP0394,17,16,38,14,26
AIP0982,3328,1864,29854.28094951923,577,0,Althea Ina Palmer,AIP0982,43,20,43,41,33
AIS0405,2995,1355,29678.196994991653,407,0,Amaya Iola Sawyer,AIS0405,40,45,14,37,35
AJC0840,364,87,30738.021978021978,48,0,Anne Jane Carey,AJC0840,14,24,19,33,37
AJD0074,3781,2144,30120.35731288019,985,373,Alden Jesse Day,AJD0074,19,37,45,22,34
AJF0370,3927,2212,30341.451489686784,589,193,Arthur John Floyd,AJF0370,37,33,11,15,36
AJH0175,4976,1042,30211.925442122185,876,0,Aurora Jael Hopkins,AJH0175,19,19,16,33,37
AJL0462,338,181,30044.615384615383,56,0,Akeem Jerry Lopez,AJL0462,16,24,44,31,28
AJN0607,5022,3717,29752.1027479092,678,0,Armand Jasper Nicholson,AJN0607,45,42,16,47,23
AJP0723,337,0,30177.9940652819,54,0,Ann Jolie Potts,AJP0723,24,29,17,12,29
AJR0319,6434,3286,30298.997979483993,1484,1411,Arthur Jacob Raymond,AJR0319,40,13,37,16,24
AJR0932,1709,0,30017.514921006437,337,0,Amal Judah Rich,AJR0932,46,30,35,12,29
AKC0924,3047,1336,29946.519855595667,442,0,Amena Karyn Christian,AKC0924,40,44,35,37,27
AKF0709,331,0,29338.924471299095,51,0,Amity Kendall Foley,AKF0709,42,31,29,22,32
AKH0758,1008,411,30344.751984126986,106,0,Adam Kendall Harrell,AKH0758,24,38,40,37,27
AKK0329,1011,693,29979.563798219584,165,0,Anastasia Kylan Kaufman,AKK0329,45,22,25,39,22
AKR0057,2459,446,30059.790971939812,372,0,Aurora Katell Rhodes,AKR0057,50,41,20,18,30
AKW0167,3685,792,30094.18236092266,714,0,Arsenio Kato Wilder,AKW0167,38,38,20,14,35
ALB0892,680,151,29952.011764705883,0,166,Arthur Lucian Bonner,ALB0892,25,19,44,22,30
ALC0788,1004,668,30369.637450199203,139,0,Amy Lucy Chen,ALC0788,34,18,15,36,35
ALD0529,993,578,30285.170191339377,13,0,Alma Leila Duncan,ALD0529,35,21,19,21,27
ALD0544,2971,2087,30073.18007404914,414,0,Ayanna Leandra Dunlap,ALD0544,16,18,18,13,32
ALH0402,3039,1263,29808.00888450148,319,0,Adena Lisandra Hardin,ALH0402,43,23,43,46,32
AMD0077,5984,2210,29734.398729946523,1440,0,Ainsley MacKensie Doyle,AMD0077,23,19,12,25,25
AMH0464,337,127,29419.109792284868,38,0,Alfreda Morgan Holloway,AMH0464,45,16,42,37,21
AMH0794,2957,1333,29991.35847142374,329,0,Ali Murphy Hurley,AMH0794,43,42,33,40,31
AMJ0297,330,0,30637.557575757575,2,0,Albert Mohammad Joseph,AMJ0297,16,43,50,18,28
AMM0014,6029,0,30108.52861171007,710,0,Alec Mannix Mcneil,AMM0014,48,38,15,44,36
AMR0318,4974,1007,30119.86369119421,879,0,Axel Malik Rosa,AMR0318,45,50,17,25,21
AMR0400,2987,0,29819.65651155005,385,0,Aurelia Martina Reese,AMR0400,19,16,47,28,28
AMV0036,4711,0,29808.875185735513,811,0,Aquila Mark Vega,AMV0036,43,36,42,37,26
AMW0392,3956,706,29891.060161779576,599,866,Alea Maggie Whitfield,AMW0392,47,47,22,44,26
ANM0123,270,184,29891.666666666668,30,0,Astra Nicole Maldonado,ANM0123,22,15,16,21,26
ANP0555,3009,0,29985.156530408774,375,0,Alexa Nadine Poole,ANP0555,13,40,42,23,28
ANT0430,3003,2129,29809.300366300366,465,0,Amaya Noelle Terrell,ANT0430,12,19,23,48,31
AOB0019,3638,754,29894.587135788894,495,0,Azalia Orli Beach,AOB0019,11,17,13,24,28
AOK0844,370,211,30846.643243243245,75,111,Armand Odysseus Key,AOK0844,11,30,44,26,31
AOS0987,3017,1559,29971.71030825323,0,0,Alice Orli Stout,AOS0987,16,32,40,30,27
APG0307,330,132,29305.418181818182,1,0,Aaron Porter Gutierrez,APG0307,43,39,36,43,22
AQD0820,3018,1210,30396.96653412856,622,0,Akeem Quamar Davenport,AQD0820,41,31,27,24,39
ARA0252,2981,2054,29871.842334786983,471,0,Alexander Rafael Arnold,ARA0252,39,39,27,21,35
ARB0834,207,94,29684.710144927536,30,0,Amelia Rhoda Burgess,ARB0834,40,42,40,49,26
ARB0881,1016,760,29696.366141732284,0,0,Abel Reese Boone,ARB0881,38,46,43,10,35
ARD0509,994,613,30588.818913480885,18,0,Abdul Ralph Deleon,ARD0509,50,40,35,32,32
ARL0034,4670,1619,30079.105995717346,872,0,August Ronan Lucas,ARL0034,41,39,27,21,26
ASB0796,2298,850,30290.52828546562,294,0,Ayanna Sylvia Blankenship,ASB0796,30,40,23,38,34
ASD0577,329,0,30248.662613981764,26,0,Aquila Stewart Dejesus,ASD0577,40,48,36,14,37
ASG0048,3631,2988,29989.740842743046,401,0,Alec Scott Goff,ASG0048,41,36,19,24,37
ASG0692,2990,707,29707.754180602005,66,0,Anastasia Sage Griffith,ASG0692,26,40,41,23,27
ASL0378,2992,1408,30163.7814171123,539,0,Axel Seth Lewis,ASL0378,15,15,41,21,27
ASM0575,330,283,29928.484848484848,35,0,Aurora Sarah Manning,ASM0575,42,25,21,45,30
ASS0206,4660,0,29922.06330472103,911,0,Ashely Sarah Shields,ASS0206,12,18,20,28,30
ASS0517,1011,571,30654.524233432247,12,0,Alfreda Sierra Savage,ASS0517,36,35,47,44,32
ASV0946,331,284,30807.495468277946,88,0,Alice Sierra Valenzuela,ASV0946,35,12,46,17,26
ATE0869,7519,4531,29953.611650485436,1219,2092,Aquila Tanner Ellison,ATE0869,13,15,40,44,33
ATF0274,3019,1862,29615.13812520702,605,0,Alea Tana Ferrell,ATF0274,20,45,48,27,28
ATP0662,5103,3819,29872.842445620223,159,277,Aurora Tatiana Payne,ATP0662,17,16,41,20,39
AVM0947,337,74,30544.86646884273,81,0,Ayanna Vivian Murray,AVM0947,10,25,30,44,39
AWM0764,1003,216,29951.934197407776,122,0,Akeem William Mayer,AWM0764,47,37,39,42,36
BAH0875,5386,917,30133.130894912738,686,0,Brianna Aretha Hopper,BAH0875,43,19,26,17,30
BAJ0654,986,517,29923.324543610546,223,0,Brock Aladdin Joyce,BAJ0654,36,10,47,10,41
BAK0964,340,133,30463.99411764706,64,0,Beatrice Alexis Kidd,BAK0964,25,16,22,18,28
BAL0044,3696,2418,30091.765422077922,815,0,Byron Armand Livingston,BAL0044,14,41,26,44,30
BAM0611,5016,3049,29957.359250398724,708,0,Brielle Aubrey Marks,BAM0611,25,30,39,23,25
BAM0636,1001,193,29857.721278721277,196,0,Brenda Alika Matthews,BAM0636,13,40,46,42,39
BBG0325,5032,2509,29732.178656597775,913,0,Blair Bruno Grimes,BBG0325,41,50,30,37,40
BBH0810,3035,0,30306.330148270183,701,0,Bruno Beau Hoover,BBH0810,40,25,10,21,32
BBS0039,1679,710,29753.76593210244,377,0,Bevis Brady Sheppard,BBS0039,44,37,34,21,40
BBS0422,3487,1922,29867.850014338972,543,399,Buckminster Benjamin Swanson,BBS0422,39,42,29,41,18
BCB0679,2439,1687,30062.648626486265,393,0,Buckminster Connor Bush,BCB0679,46,36,39,31,31
BCM0653,1021,209,30178.9833496572,229,0,Bevis Christopher Mcknight,BCM0653,45,34,41,18,31
BCR0581,329,245,29933.49848024316,31,0,Bruno Carter Robles,BCR0581,20,11,34,36,30
BDB0453,338,0,29332.659763313608,47,0,Brett Damian Beck,BDB0453,41,42,27,41,26
BDI0533,1302,706,29780.524577572964,15,285,Bruno Donovan Ingram,BDI0533,37,36,15,41,19
BDV0168,2427,846,30064.230737536054,404,0,Blair Deborah Vaughn,BDV0168,45,31,19,21,31
BEC0505,5019,2676,30000.263996812115,672,0,Bruce Eden Clemons,BEC0505,35,21,30,19,32
BEH0615,5123,2730,30103.44329494437,840,15,Barclay Eaton Hensley,BEH0615,24,20,50,22,26
BER0314,4963,986,30238.158976425548,850,0,Bianca Elizabeth Roach,BER0314,23,20,18,19,32
BHC0665,2973,2331,30245.266061217626,255,0,Blaine Helen Cervantes,BHC0665,14,21,12,12,32
BHW0458,333,153,30922.68768768769,36,0,Beau Hall Watts,BHW0458,36,32,28,30,29
BIH0745,2087,1469,29749.15955917585,320,0,Benjamin Ignatius Hooper,BIH0745,43,39,50,27,25
BIS0247,2984,598,30203.46481233244,406,0,Bryar Ivana Sweet,BIS0247,36,19,18,39,37
BJH0354,4727,0,29868.257668711656,553,0,Bert Jason Henderson,BJH0354,22,21,31,20,36
BJH0811,3038,0,29900.20375246873,696,0,Blaze Jakeem Hahn,BJH0811,48,39,44,14,40
BJM0111,1082,712,29881.523105360444,0,48,Bell Jorden Martinez,BJM0111,22,24,39,41,19
BJP0134,338,207,30323.76627218935,7,0,Beck John Peters,BJP0134,42,17,44,21,39
BJW0619,4973,976,29861.956364367587,859,0,Blaine Jelani Weeks,BJW0619,30,43,47,21,39
BKW0374,3612,1212,30058.340254706534,538,0,Blossom Keiko Weiss,BKW0374,41,38,17,46,27
BLB0114,3016,2694,30060.930702917773,0,0,Brent Laith Beck,BLB0114,38,48,41,15,22
BLL0929,2981,1314,30055.577993961757,722,0,Bethany Lydia Lyons,BLL0929,44,49,10,41,39
BLS0678,1729,1169,29768.91960670908,276,0,Benjamin Lewis Sweeney,BLS0678,35,17,43,28,31
BMC0547,3034,0,30296.589980224126,385,0,Britanni Marah Cash,BMC0547,41,18,22,21,35
BMG0917,3039,617,29831.986837775585,448,0,Beverly Melissa Garner,BMG0917,43,36,41,23,34
BMM0112,1013,350,29920.38104639684,0,0,Barry Martin Mason,BMM0112,40,36,24,40,25
BMS0877,1786,1346,29865.20940649496,277,0,Brynn Madeline Sherman,BMS0877,31,50,11,43,33
BMT0528,1010,768,30206.80891089109,11,0,Brittany Mona Terry,BMT0528,33,25,39,25,30
BNG0237,3008,2404,29886.675531914894,441,0,Brian Nathaniel Greer,BNG0237,39,36,36,47,27
BNR0965,333,241,29342.396396396398,82,0,Basia Nevada Riggs,BNR0965,47,19,15,20,22
BQS0525,142,76,29700.323943661973,0,41,Britanney Quail Snyder,BQS0525,42,38,19,45,30
BRB0355,4389,2421,29998.231259968103,57,969,Burke Randall Burnett,BRB0355,33,21,37,19,29
BRM0995,3044,1665,29647.359724047306,571,0,Brianna Rebecca Mcintyre,BRM0995,20,11,32,26,40
BRS0734,1497,931,29545.795591182366,280,233,Burke Rooney Stafford,BRS0734,32,39,47,10,30
BSA0431,3044,618,29985.483902759526,427,0,Blossom Scarlett Aguirre,BSA0431,50,41,19,40,29
BSB0990,3015,1271,29914.03416252073,791,0,Bruce Sawyer Barrera,BSB0990,34,44,13,43,37
BSH0445,3043,1248,29617.097272428524,449,0,Bethany Stephanie Haynes,BSH0445,38,22,30,15,21
BSS0369,2300,491,30380.558260869566,297,432,Brenden Samuel Shaffer,BSS0369,39,42,34,14,32
BSS0463,335,326,30654.17910447761,39,0,Bruno Stewart Silva,BSS0463,32,40,40,38,28
BTL0226,1862,974,30082.817937701395,235,0,Bernard Tobias Landry,BTL0226,36,44,37,38,31
BTL0722,334,153,29629.79341317365,63,0,Blair Todd Long,BTL0722,39,41,36,17,49
BTN0061,3031,2340,30221.633784229627,472,0,Benjamin Tyrone Norman,BTN0061,42,21,22,20,22
BTR0403,3003,583,29821.283383283382,435,0,Beck Troy Richards,BTR0403,47,47,21,17,28
